Title: 
 ;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024*
Voertuigdiefstallen; ; ; ; ; ; ; ; ; ; 
Autodiefstal;199;134;174;131;150;115;107;118;129;21
Motodiefstal;24;28;22;21;18;12;14;13;13;1
Carjacking;9;4;7;4;6;1;3;5;9;1
Homejacking;2;2;3;2;2;0;2;2;1;0
Garagediefstal;21;7;17;14;16;11;2;4;5;0
Bromfietsdiefstal;29;25;26;16;13;18;13;17;7;4
Fietsdiefstal;95;86;103;93;124;106;103;127;88;17
Inbraken; ; ; ; ; ; ; ; ; ; 
Woninginbraak;1090;865;1096;1074;1204;876;671;777;708;304
Inbraak in bedrijf of handelszaak;321;257;315;197;230;165;107;147;151;31
Inbraak in openbare of overheidsinstelling;154;153;178;129;127;89;68;88;87;16
Ramkraak;6;1;9;5;0;4;1;1;1;0
Inbraak in gebouw (totaal);1551;1269;1580;1396;1557;1129;845;1011;946;351
Andere diefstallen; ; ; ; ; ; ; ; ; ; 
Diefstal gewapenderhand;46;43;35;25;26;22;24;22;22;2
Diefstal met geweld zonder wapen;141;114;147;128;141;124;112;125;121;36
Diefstal uit of aan voertuig;641;553;562;463;542;369;445;485;374;140
Sacjacking uit auto;0;1;1;0;1;0;0;0;0;0
Handtasroof;7;7;1;2;2;1;2;1;1;1
Grijpdiefstal;23;26;32;32;47;19;16;15;17;5
Zakkenrollerij;196;158;172;120;143;73;76;86;85;10
Winkeldiefstal;311;333;423;416;438;297;355;438;389;104
Diefstal met list;56;70;70;57;54;14;16;22;29;9
Metaaldiefstal;88;60;67;67;47;36;35;63;40;13
Werfdiefstal;90;79;61;52;67;42;46;51;34;9
Home-invasion;4;0;0;4;4;1;2;3;0;0
Ladingdiefstal;22;51;86;28;30;30;18;8;4;2
ICT-criminaliteit; ; ; ; ; ; ; ; ; ; 
Betaalkaartfraude;75;103;93;81;124;84;75;110;106;26
Phishing;1;7;6;6;5;8;8;24;46;13
Ransomware;0;0;8;3;1;1;2;2;2;0
Shouldersurfing;0;1;8;6;22;0;1;0;6;1
Skimming;8;14;3;1;0;1;0;0;2;0
Intrafamiliaal geweld (IFG); ; ; ; ; ; ; ; ; ; 
IFG: binnen het koppel (totaal);934;935;1038;1026;1164;1149;1163;1177;1181;310
IFG: tegen afstammelingen (totaal);102;119;135;149;154;156;196;174;168;43
IFG: tegen andere leden (totaal);228;246;257;208;206;213;215;247;284;67
IFG: algemeen totaal;1225;1257;1373;1339;1464;1457;1493;1528;1557;400
Andere; ; ; ; ; ; ; ; ; ; 
Geweld tegen beroepen van algemeen belang;39;40;51;45;40;45;40;55;54;12
Groepsverkrachting;3;5;4;5;2;4;5;1;3;2
Graffiti;68;81;62;65;43;34;30;50;31;5
Beschadiging van auto;984;829;806;759;860;684;779;739;753;165
Steekpartij;9;10;14;15;8;9;13;17;17;2
Nepagenten;8;3;6;9;0;4;2;6;6;2
Cyberbelaging;148;163;166;122;94;48;78;57;121;36
Identiteitsfraude;140;127;167;137;127;150;132;185;223;73

Filters: Province: Luxembourg
URL: https://www.politie.be/statistieken/nl/criminaliteit/criminele-figuren/tabel?nis=08_1
BRON: Federale Politie - Directie van de politionele informatie en ICT-middelen - business Beleid en Beheer (BIPOL)
