Title: 
 ;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024*
Voertuigdiefstallen; ; ; ; ; ; ; ; ; ; 
Autodiefstal;535;484;362;347;370;251;270;317;333;82
Motodiefstal;90;59;81;70;88;62;41;40;53;11
Carjacking;3;11;5;8;9;9;9;1;12;1
Homejacking;3;3;4;5;5;1;1;4;4;1
Garagediefstal;39;32;27;25;19;7;8;8;6;1
Bromfietsdiefstal;482;392;474;297;335;256;266;309;406;87
Fietsdiefstal;6280;5983;6339;6143;5513;3850;5245;6029;5566;1213
Inbraken; ; ; ; ; ; ; ; ; ; 
Woninginbraak;5867;5286;4560;4276;4234;2944;2866;4008;3784;1055
Inbraak in bedrijf of handelszaak;1523;1121;1098;1096;977;547;546;592;691;208
Inbraak in openbare of overheidsinstelling;640;555;583;503;450;283;332;298;334;65
Ramkraak;5;4;9;4;1;3;3;1;3;1
Inbraak in gebouw (totaal);8015;6954;6229;5871;5650;3769;3736;4894;4802;1326
Andere diefstallen; ; ; ; ; ; ; ; ; ; 
Diefstal gewapenderhand;174;214;189;157;189;145;134;142;167;22
Diefstal met geweld zonder wapen;1097;1043;956;1091;1028;778;833;993;1192;262
Diefstal uit of aan voertuig;3497;4082;2798;2610;2795;2064;2073;2478;2468;580
Sacjacking uit auto;1;2;1;1;2;0;0;2;0;0
Handtasroof;40;39;51;51;20;10;12;12;17;1
Grijpdiefstal;207;174;317;356;331;217;199;293;363;80
Zakkenrollerij;2249;1644;1420;1383;1523;731;628;1175;1493;297
Winkeldiefstal;2977;2880;3117;3246;3371;2967;3417;3929;4135;1051
Diefstal met list;357;329;283;294;259;144;184;260;241;55
Metaaldiefstal;319;191;216;165;179;113;129;192;164;31
Werfdiefstal;389;384;361;378;320;256;247;310;292;67
Home-invasion;13;14;12;16;18;11;15;6;12;5
Ladingdiefstal;66;45;49;50;100;97;46;28;39;3
ICT-criminaliteit; ; ; ; ; ; ; ; ; ; 
Betaalkaartfraude;287;302;285;324;427;352;330;459;529;114
Phishing;20;22;58;171;279;1031;2001;1692;1336;296
Ransomware;0;4;22;26;13;12;33;18;18;3
Shouldersurfing;7;15;30;34;32;18;15;23;22;1
Skimming;40;38;24;33;57;37;16;31;38;9
Intrafamiliaal geweld (IFG); ; ; ; ; ; ; ; ; ; 
IFG: binnen het koppel (totaal);5336;5381;5195;5280;5386;5201;5420;5683;5689;1363
IFG: tegen afstammelingen (totaal);428;512;499;531;583;625;698;726;716;194
IFG: tegen andere leden (totaal);878;940;983;901;890;922;1010;1020;1023;297
IFG: algemeen totaal;6439;6612;6454;6472;6626;6418;6693;6950;6952;1734
Andere; ; ; ; ; ; ; ; ; ; 
Geweld tegen beroepen van algemeen belang;328;370;372;351;365;339;349;451;459;117
Groepsverkrachting;24;15;21;31;21;18;30;14;13;3
Graffiti;334;393;346;231;254;238;275;402;449;84
Beschadiging van auto;4264;4159;4080;3696;3654;2976;2995;3238;3362;796
Steekpartij;56;50;65;41;48;67;74;78;61;14
Nepagenten;8;6;4;10;12;20;9;6;15;6
Cyberbelaging;501;547;549;552;573;582;619;555;589;147
Identiteitsfraude;652;702;737;948;895;1124;1256;1369;1411;342

Filters: Province: Oost-Vlaanderen
URL: https://www.politie.be/statistieken/nl/criminaliteit/criminele-figuren/tabel?nis=04_1
BRON: Federale Politie - Directie van de politionele informatie en ICT-middelen - business Beleid en Beheer (BIPOL)
