Title: 
 ;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024*
Voertuigdiefstallen; ; ; ; ; ; ; ; ; ; 
Autodiefstal;10155;8959;8589;7702;6877;5035;4799;5379;5782;1339
Motodiefstal;1274;1144;1107;948;1066;718;702;915;897;159
Carjacking;383;331;322;284;273;179;218;242;217;37
Homejacking;61;87;82;68;56;37;47;45;57;15
Garagediefstal;772;674;750;693;538;260;227;271;259;50
Bromfietsdiefstal;3519;3186;2977;2365;2426;1896;2150;2639;2747;571
Fietsdiefstal;34557;34217;33327;31388;31352;24748;26866;30912;30380;6030
Inbraken; ; ; ; ; ; ; ; ; ; 
Woninginbraak;67149;56562;53534;52496;48901;34827;34588;40597;38089;9730
Inbraak in bedrijf of handelszaak;16011;13914;13838;11797;11094;7701;7108;7848;8098;1905
Inbraak in openbare of overheidsinstelling;5717;5547;5310;4673;4110;3109;2512;2692;2711;574
Ramkraak;161;101;91;106;78;32;15;26;37;6
Inbraak in gebouw (totaal);88706;75911;72553;68897;64021;45584;44152;51092;48848;12199
Andere diefstallen; ; ; ; ; ; ; ; ; ; 
Diefstal gewapenderhand;4052;3583;3418;3040;2981;2319;2396;2388;2602;659
Diefstal met geweld zonder wapen;18347;16930;15630;15541;15385;11194;11506;13849;14764;3262
Diefstal uit of aan voertuig;55552;54388;48521;45157;47242;33488;35935;38629;41878;9069
Sacjacking uit auto;609;623;326;246;221;84;67;68;21;3
Handtasroof;1094;907;775;743;538;364;369;383;373;78
Grijpdiefstal;6809;5880;6514;6939;6455;4135;4206;4813;5642;1151
Zakkenrollerij;26892;23561;23758;27027;31164;16704;17352;23973;27537;6521
Winkeldiefstal;21225;21469;21237;22559;22471;17891;19413;23321;24685;6757
Diefstal met list;8011;6624;6531;7395;7001;4173;4389;5098;5097;929
Metaaldiefstal;2579;1736;1858;2029;1638;1110;1351;2009;1705;378
Werfdiefstal;3298;3049;2915;2982;2771;2457;2373;2789;2499;563
Home-invasion;177;186;211;204;201;143;129;143;155;31
Ladingdiefstal;1005;1158;1317;1119;1256;1250;683;713;941;241
ICT-criminaliteit; ; ; ; ; ; ; ; ; ; 
Betaalkaartfraude;8430;9903;9854;9505;11811;9113;10559;13442;13262;2617
Phishing;220;219;474;1316;2484;7557;8439;8333;8005;2027
Ransomware;0;49;239;185;183;124;159;158;157;48
Shouldersurfing;748;1097;1443;1273;1477;611;355;354;403;46
Skimming;450;475;340;263;392;297;213;291;275;42
Intrafamiliaal geweld (IFG); ; ; ; ; ; ; ; ; ; 
IFG: binnen het koppel (totaal);37519;37765;37463;38820;39279;37676;38564;40396;39904;9429
IFG: tegen afstammelingen (totaal);4093;4828;4852;5063;5332;5421;5829;5647;5716;1465
IFG: tegen andere leden (totaal);7212;7059;7141;7163;7221;6925;6869;7005;7522;1878
IFG: algemeen totaal;47271;47718;47396;48951;49643;47539;48668;50355;50302;12100
Andere; ; ; ; ; ; ; ; ; ; 
Geweld tegen beroepen van algemeen belang;2215;2312;2404;2421;2432;2211;2510;2885;2790;676
Groepsverkrachting;194;226;222;229;229;201;252;206;178;35
Graffiti;4029;3345;2988;2305;2409;2447;2959;2926;2813;661
Beschadiging van auto;38998;35774;34676;34252;33619;26840;28049;28654;28917;6762
Steekpartij;626;641;628;668;639;658;757;829;703;145
Nepagenten;354;252;219;289;213;177;128;182;176;51
Cyberbelaging;8213;7911;7688;7880;8027;7922;8488;8548;8999;2305
Identiteitsfraude;9267;9015;8849;9196;10042;10678;11026;11291;11010;2604

URL: https://www.politie.be/statistieken/nl/criminaliteit/criminele-figuren/tabel
BRON: Federale Politie - Directie van de politionele informatie en ICT-middelen - business Beleid en Beheer (BIPOL)
