Title: 
 ;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024*
Voertuigdiefstallen; ; ; ; ; ; ; ; ; ; 
Autodiefstal;631;488;512;539;432;348;337;314;343;83
Motodiefstal;61;67;58;47;87;58;36;61;54;10
Carjacking;14;8;14;11;8;6;8;17;11;0
Homejacking;2;4;4;5;8;1;2;5;1;1
Garagediefstal;87;55;50;48;36;21;20;12;11;0
Bromfietsdiefstal;215;250;214;174;211;133;115;158;159;33
Fietsdiefstal;4478;4309;3963;3904;3727;2830;3209;3458;3384;725
Inbraken; ; ; ; ; ; ; ; ; ; 
Woninginbraak;7414;5923;4954;5095;4507;3481;3593;4842;3971;1108
Inbraak in bedrijf of handelszaak;1180;890;1030;882;751;592;539;519;662;130
Inbraak in openbare of overheidsinstelling;453;408;358;407;337;251;182;205;193;53
Ramkraak;18;10;8;11;6;4;5;6;5;0
Inbraak in gebouw (totaal);9021;7207;6332;6374;5586;4319;4309;5560;4824;1290
Andere diefstallen; ; ; ; ; ; ; ; ; ; 
Diefstal gewapenderhand;209;182;195;128;163;123;147;139;136;26
Diefstal met geweld zonder wapen;743;747;637;685;717;563;555;822;667;133
Diefstal uit of aan voertuig;3363;3231;3131;2942;2822;2237;2195;2268;2236;521
Sacjacking uit auto;7;20;3;6;1;0;2;4;0;0
Handtasroof;45;35;34;21;17;18;16;8;15;2
Grijpdiefstal;185;193;234;253;218;163;154;170;172;31
Zakkenrollerij;1770;1526;1365;1251;1250;564;504;672;778;141
Winkeldiefstal;1527;1604;1639;1778;1691;1387;1726;1871;1903;592
Diefstal met list;711;515;519;475;404;234;350;374;374;75
Metaaldiefstal;148;105;94;110;112;78;89;137;103;19
Werfdiefstal;285;290;240;246;257;265;225;288;224;51
Home-invasion;11;8;22;21;24;11;20;12;14;4
Ladingdiefstal;104;117;129;65;50;72;41;34;26;7
ICT-criminaliteit; ; ; ; ; ; ; ; ; ; 
Betaalkaartfraude;390;467;533;492;788;625;546;844;835;133
Phishing;15;15;43;153;267;1369;1361;1221;1050;324
Ransomware;0;5;28;26;32;10;15;26;26;11
Shouldersurfing;31;24;78;62;127;46;37;26;24;5
Skimming;45;29;31;17;49;25;17;55;42;5
Intrafamiliaal geweld (IFG); ; ; ; ; ; ; ; ; ; 
IFG: binnen het koppel (totaal);2205;2296;2336;2338;2190;2256;2223;2416;2364;553
IFG: tegen afstammelingen (totaal);262;296;318;311;273;290;319;319;336;102
IFG: tegen andere leden (totaal);444;429;380;370;375;363;411;434;484;125
IFG: algemeen totaal;2808;2909;2943;2918;2751;2812;2855;3026;3046;744
Andere; ; ; ; ; ; ; ; ; ; 
Geweld tegen beroepen van algemeen belang;192;198;187;212;209;188;189;255;185;59
Groepsverkrachting;9;9;9;8;9;10;12;7;11;2
Graffiti;335;264;209;180;175;198;179;252;251;56
Beschadiging van auto;3309;2901;2757;2694;2635;2144;2271;2330;2318;572
Steekpartij;26;28;24;30;27;24;48;27;26;7
Nepagenten;32;16;21;45;22;18;10;19;16;6
Cyberbelaging;614;553;564;599;621;658;738;737;696;177
Identiteitsfraude;1433;1089;1203;1335;1629;1540;1745;1804;1635;359

Filters: Province: Vlaams-Brabant
URL: https://www.politie.be/statistieken/nl/criminaliteit/criminele-figuren/tabel?nis=11_1
BRON: Federale Politie - Directie van de politionele informatie en ICT-middelen - business Beleid en Beheer (BIPOL)
