Title: 
 ;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024*
Voertuigdiefstallen; ; ; ; ; ; ; ; ; ; 
Autodiefstal;333;296;314;371;294;170;164;182;161;35
Motodiefstal;34;30;30;28;24;25;18;20;14;3
Carjacking;4;4;12;17;9;3;5;9;6;1
Homejacking;1;2;1;3;1;3;2;0;6;0
Garagediefstal;41;41;43;60;44;17;8;25;6;2
Bromfietsdiefstal;59;59;57;31;41;37;23;22;27;5
Fietsdiefstal;325;364;406;334;315;317;412;364;299;57
Inbraken; ; ; ; ; ; ; ; ; ; 
Woninginbraak;2659;2559;2401;2464;2255;1819;1577;1930;1760;463
Inbraak in bedrijf of handelszaak;393;454;465;476;410;311;266;241;247;68
Inbraak in openbare of overheidsinstelling;185;184;137;167;170;89;91;87;77;7
Ramkraak;3;4;10;10;6;3;0;0;0;0
Inbraak in gebouw (totaal);3235;3195;2999;3107;2832;2219;1933;2256;2083;538
Andere diefstallen; ; ; ; ; ; ; ; ; ; 
Diefstal gewapenderhand;74;79;75;81;66;59;53;65;63;9
Diefstal met geweld zonder wapen;341;342;297;258;278;223;223;258;268;44
Diefstal uit of aan voertuig;1334;1381;1543;1259;1137;767;673;744;804;182
Sacjacking uit auto;0;0;0;4;2;0;0;1;0;0
Handtasroof;22;7;11;22;3;8;3;8;5;0
Grijpdiefstal;78;44;85;95;82;50;50;65;58;14
Zakkenrollerij;447;347;337;334;322;184;178;253;249;44
Winkeldiefstal;620;649;691;530;630;542;560;650;696;200
Diefstal met list;219;170;202;205;231;126;103;106;109;20
Metaaldiefstal;62;38;46;48;28;27;52;38;48;3
Werfdiefstal;109;69;92;89;91;72;66;89;69;20
Home-invasion;6;9;5;5;5;2;2;4;4;0
Ladingdiefstal;31;48;73;46;60;54;23;14;30;10
ICT-criminaliteit; ; ; ; ; ; ; ; ; ; 
Betaalkaartfraude;287;285;287;320;469;397;392;511;396;101
Phishing;9;15;24;55;54;130;170;245;270;60
Ransomware;0;3;10;7;4;6;4;12;5;3
Shouldersurfing;33;33;64;56;124;45;19;30;38;5
Skimming;31;17;11;10;29;6;3;23;20;3
Intrafamiliaal geweld (IFG); ; ; ; ; ; ; ; ; ; 
IFG: binnen het koppel (totaal);1254;1267;1206;1336;1378;1329;1265;1428;1362;333
IFG: tegen afstammelingen (totaal);139;189;180;162;183;197;202;208;207;51
IFG: tegen andere leden (totaal);239;268;221;225;239;209;219;233;263;59
IFG: algemeen totaal;1581;1656;1560;1679;1739;1658;1610;1786;1732;422
Andere; ; ; ; ; ; ; ; ; ; 
Geweld tegen beroepen van algemeen belang;68;67;58;58;67;54;60;71;71;18
Groepsverkrachting;2;10;7;5;4;3;6;7;4;1
Graffiti;144;108;104;58;41;33;56;72;57;19
Beschadiging van auto;1295;934;822;927;810;658;736;819;763;213
Steekpartij;6;15;7;12;5;13;10;11;5;3
Nepagenten;45;13;21;24;15;14;5;7;10;0
Cyberbelaging;435;381;457;473;491;558;443;501;479;130
Identiteitsfraude;270;298;304;345;334;313;340;385;401;110

Filters: Province: Brabant wallon
URL: https://www.politie.be/statistieken/nl/criminaliteit/criminele-figuren/tabel?nis=10_1
BRON: Federale Politie - Directie van de politionele informatie en ICT-middelen - business Beleid en Beheer (BIPOL)
